fecha,id_kpi,nivel,valor,unidad,tipo_dato
8/16/2024 0:00,EXTRACCION_MINA_F10N,DAYY,3.5259387,kt,plan anual
8/20/2024 0:00,EXTRACCION_MINA_F12N,DAYY,16.18584236,kt,plan anual
8/22/2024 0:00,PLANTA_CONCENTRADORA_CU_FINO_PRODUCIDO,DAYY,94.23460213,tmf,plan anual
8/26/2024 0:00,MOVIMIENTO_F11W,DAY,0,kt,plan semanal
8/28/2024 0:00,MOVIMIENTO_F12N,DAYM,12.3402452,kt,plan mensual
8/29/2024 0:00,CONCENTRADO_PRODUCIDO,DAY,0,t,plan semanal
8/29/2024 0:00,PUERTO_CU_FINO_FILTRADO_PAGABLE,DAY,0,tmf,plan semanal
8/31/2024 0:00,REBOSE_QUILLAYES,DAY,0,t,plan semanal
8/1/2024 0:00,CHANCADO,YTD,3.33E+05,kt,real
8/1/2024 0:00,CONCENTRADO_PRODUCIDO,MTD,1571.527064,t,real
8/1/2024 0:00,CONSUMO_AGUA_FRESCA_A_PROCESO,MTDS,0,l/s,plan semanal
8/1/2024 0:00,F80,DAY,2.711728852,pulgadas,plan semanal
8/1/2024 0:00,PLANTA_CONCENTRADORA_CU_FINO_PRODUCIDO,BMTD,384.0668877,tmf,plan anual
8/1/2024 0:00,PORC_SOLIDOS_STR,FWTD,43.27093882,%,real
8/1/2024 0:00,POT_BM_4,MTD,0.628417146,kW,real
8/1/2024 0:00,POT_BM_4,YTD,5084.424809,kW,real
8/1/2024 0:00,PRODUCCION_DE_MO_FINO_PAGABLE,WTD,0,Ton,real
8/1/2024 0:00,PUERTO_FINO_MOLY_ENV_PAGABLE,FWTD,4.964970849,tmf,real
8/1/2024 0:00,RECIRCULACION_PTAS,7LDM,15.79608397,l/s,plan mensual
8/1/2024 0:00,RECUPERACION_CU,DAYM,5.510503626,Tms,plan mensual
8/1/2024 0:00,SUPRESION_CV_07,WTD,0.123812499,l/s,real
8/2/2024 0:00,CONCENTRADO_MO_PRODUCIDO,DAY,0,Ktms,real
8/2/2024 0:00,CONSUMO_AGUA_FRESCA_A_PROCESO,YTD,6726.128174,l/s,real
8/2/2024 0:00,ENVIOS_AGUAS_MINA_PLANTA,7LD,17.45469334,l/s,real
8/2/2024 0:00,ENVIO_DESALADORA_PROMEDIO_DIA,WTDM,375.0543465,l/s,plan mensual
8/2/2024 0:00,EXTRACCION_MINA,WTD,1401.103061,kt,plan semanal
8/2/2024 0:00,ONZAS_DE_ORO_FILTRADAS_PAGABLE_OZ,WTDM,581.8636493,oz,plan mensual
8/2/2024 0:00,PORC_SOLIDOS_STC,FWTDS,31.92471364,%,plan semanal
8/2/2024 0:00,REC_META_GLOBAL_DIA_MINCO,HFWTD,24.73631908,%,real
8/2/2024 0:00,REMANEJO,7LD,271.1484316,kt,plan semanal
8/2/2024 0:00,TOTAL_FUENTES,WTD,0,l/s,real
8/2/2024 0:00,TRANSPORTADO_STC,DAY,105.1994102,t,plan semanal
8/2/2024 19:30,MP10_HOTELMINA,MINUTES,0,ug/m3N,real
8/3/2024 0:00,CONCENTRADO_FILTRADO,HFWTD,2317.333645,t,plan mensual
8/3/2024 0:00,MINERAL_PROCESADO,MTD,7599.692985,ktms,plan mensual
8/3/2024 0:00,OTRAS_FUENTES,WTDM,267.6985656,l/s,plan mensual
8/3/2024 0:00,P80,YTDSB,110.1519361,um,real
8/3/2024 0:00,PLANTA_CONCENTRADORA_FINOS_CU_FILTRADO,DAY,180.0406839,tmf,plan semanal
8/3/2024 0:00,PRODUCCION_MOLIBDENO_RECUPERACION_SELEC_ST,DAYM,56.21060405,%,plan mensual
8/3/2024 0:00,TRANSPORTADO_STMG,HFWTD,0,kt,plan mensual
8/3/2024 3:40,MP10_CHACAY,MINUTES,0,ug/m3N,real
8/3/2024 21:40,MP10_CHACAY,MINUTES,0,ug/m3N,real
8/4/2024 0:00,COEFICIENTE_DE_MARCHA_LINEA_123,7LD,10.75427233,%,real
8/4/2024 0:00,DISPONIBILIDAD_FISICA_CAEX,7LD,54.8547961,%,plan semanal
8/4/2024 0:00,DRENAJE_SECTOR_T_QUILLAYES,WTDM,97.00636113,l/s,plan mensual
8/4/2024 0:00,INTENSIDAD_DE_USO_DE_AGUA,7LD,0.343447186,%,real
8/4/2024 0:00,PORC_SOLIDOS_STR,7LD,11.02055805,%,plan semanal
8/4/2024 0:00,PORC_SOLIDOS_STR,HFWTD,41.94382737,%,plan mensual
8/4/2024 0:00,PRODUCCION_MOLIBDENO_RECUPERACION_SELEC_ST,YTDSB,0,%,real
8/4/2024 0:00,PUERTO_FINO_MOLY_ENV_PAGABLE,YTDSB,3933.865134,tmf,real
8/4/2024 0:00,TOTAL_FUENTES,7LDM,549.6125744,l/s,plan mensual
8/4/2024 0:00,TRANSPORTADO_STC,WTD,22107.0752,t,real
8/4/2024 0:00,UEBD_CAEX,HFWTD,45.94286232,%,plan mensual
8/4/2024 0:00,VELOCIDAD_CAEX,YTDSB,4.537317613,km/h,real
8/5/2024 0:00,AGUA_CONSUMO_INTERIOR_MINA,WTD,0,l/s,real
8/5/2024 0:00,ARENAS_COMPACTADAS,WTDM,8.653255087,kt,plan mensual
8/5/2024 0:00,BOOSTER,FWTD,0.250946,l/s,real
8/5/2024 0:00,CAMPAMENTO_ESTERO_CHACAY,WTD,0,l/s,real
8/5/2024 0:00,CONSUMO_AGUA_FRESCA_A_PROCESO_OTROS_USOS_2,7LD,0.232269371,l/s,real
8/5/2024 0:00,DF_PALA_ELECTRICA_05,MTD,0,%,real
8/5/2024 0:00,ENVIO_STR,MTD,566911.6635,t,real
8/5/2024 0:00,LEY_CONCENTRADO_CU,FWTD,15.97095685,%,real
8/5/2024 0:00,ONZAS_DE_PLATA_FILTRADAS_PAGABLE_KOZ,MTD,18419.87701,oz,real
8/5/2024 0:00,OSS_1,YTD,0.339655736,inch,real
8/5/2024 0:00,PLANTA_CONCENTRADORA_LEY_CU,BMTD,0.190561522,%,plan anual
8/5/2024 0:00,PLANTA_CONCENTRADORA_LEY_CU,YTDS,0.112996249,%,null
8/5/2024 0:00,PLANTA_CONCENTRADORA_TRATAMIENTO,WTDM,67.35890251,kt,plan mensual
8/5/2024 0:00,RECIRCULACION_PTAS,WTD,0,l/s,real
8/5/2024 0:00,REC_META_GLOBAL_DIA_MINCO,WTD,18.15747173,%,real
8/5/2024 0:00,TRANSPORTADO_STMG,MTD,52.55338501,kt,plan mensual
8/5/2024 1:20,MP10_HOTELMINA,MINUTES,0,ug/m3N,real
